hotel_id,image_id
1,https://lh5.googleusercontent.com/p/AF1QipPYwEsS93zLflrAVzqqmCg0M_xmk5aXtuqvOuji=w296-h202-n-k-no-v1
1,https://lh5.googleusercontent.com/p/AF1QipNvmMBrfy26Eaf5bWngvNEMM1TZkt-q55RQ7tJH=w296-h202-n-k-no-v1
1,https://lh5.googleusercontent.com/p/AF1QipMJ19-yTC-8-KTFABJ0PKFCFezVDpSoMgR3gkOQ=w296-h202-n-k-no-v1
1,https://lh5.googleusercontent.com/p/AF1QipOACqSoHltDWzU0KYQJ2FCMHT9lS0hH5sjT4TgM=w296-h202-n-k-no-v1
1,https://lh5.googleusercontent.com/p/AF1QipMuHIYvGNkyEa5ZUPdsNV9bERq6--Mslt1NBtcY=w296-h202-n-k-no-v1
1,https://lh5.googleusercontent.com/p/AF1QipPG0Jy40fGm4UuSG3GbsT9ZhFUXeV9jyONYj-1a=w296-h202-n-k-no-v1
2,https://lh5.googleusercontent.com/proxy/0pD3db8otwfxendoDa71Sotwq2SRrE1uc12Ryv1wznq9F5FsPez-okOXswRI6Ak8s_eCcqmv-SMvDydM_b854mxE5HSSUsP2HrlFsIYMIxhDsNAV5i-6BJlRrbnUkD4KCUJmGREcht0hBBUsat_sL0Isl377tA=w296-h202-n-k-no-v1
2,https://lh5.googleusercontent.com/proxy/6ozVnFo_Z-xI6eOqCVENc9Ng9wWpG1yXS1kdNzI-CD4KNDrYJPlLnmkxwtRYyJlRPR16I1nrd2cp9x1C3Xk-Yf_Y2B4lrmiiwr0TqaBh03LlCtOo7Dmoov8QRv-OC47KgrSH3VqnoZYw4_ujLZTpHpHH1F8Wag=w296-h202-n-k-no-v1
2,https://lh5.googleusercontent.com/p/AF1QipNqyIiLljICgOihuggb88wqhzm3A-3AueI7JU8h=w296-h202-n-k-no-v1
2,https://lh5.googleusercontent.com/p/AF1QipPJSCd8iLT3lJREO3unIJTgKq4xe0LmgKPD8arJ=w296-h202-n-k-no-v1
2,https://lh5.googleusercontent.com/p/AF1QipOHoFLracpYfvrc-Rg1YGTOLgopunzU_gzQphTP=w296-h202-n-k-no-v1
2,https://lh4.googleusercontent.com/proxy/7_HH-UHKIDqR7uj8ZYRk3fZ_cxDP0sGzvEkf1Ntg74DA6vvW1VkMl1XnWM9YdC5CQ30u9sk9ulGe5RgOQ5We8zMnETXD2QCarvw--En_VmsPDRf9oscrKDL8dOcCBa_WemMo89L49CeH8lb4GTqFaiFxvcvcWQ=w296-h202-n-k-no-v1
3,https://lh5.googleusercontent.com/p/AF1QipOagUTaCdivB2YaDtAdr9TR9GxScbOYe0gbiXId=w296-h202-n-k-no-v1
3,https://lh5.googleusercontent.com/p/AF1QipN4F8aOIZop9SZC7pO4yir9GQ9ZkZn3UjoOkBDy=w296-h202-n-k-no-v1
3,https://lh5.googleusercontent.com/p/AF1QipPZ5kDQAf_BMAfqI88oaeksyHG1YGN08ceSe8FS=w296-h202-n-k-no-v1
3,https://lh5.googleusercontent.com/p/AF1QipPN3UsQx9CX_OkJj5fiedVDZ1FR2dC_2rPbFNJs=w296-h202-n-k-no-v1
3,https://lh5.googleusercontent.com/p/AF1QipPgfEHEGDXrTfEq5emLPeNmDgd0c24sIPx3owd_=w296-h202-n-k-no-v1
3,https://lh5.googleusercontent.com/p/AF1QipMJC9QYC_SlAWVsQkek2myp46xNRAVPU879QqgQ=w296-h202-n-k-no-v1
4,https://lh5.googleusercontent.com/p/AF1QipOs7X78MPjxueesLTLC45hgzfbcWvNAC7bvroNn=w296-h202-n-k-no-v1
4,https://lh3.googleusercontent.com/proxy/Ju73GtBAQ50DWE4nQTTEnarcCYyapj4NuPpDiWvVUL7UASAEtli0hNb2DA8070HEPc3g3fhwZcUzP5a9wYWHRx_JNmMM8K6CS-GiSjbSx1ApNuzwzMLY7U0--xJ_OSOMLbbEWX-erCfs2pHk2T5iWhcXa6jdhg=w296-h202-n-k-no-v1
4,https://lh5.googleusercontent.com/p/AF1QipNGSzAPYNGGJMoMU14DhML4kYYWNdHo3vdiDUB5=w296-h202-n-k-no-v1
